CellLabel	Distance[µm]	DAPI	MTCOI	SDHA
Pos1	188.985	56.714	350.143	494
Pos1	189.308	56.714	316.857	461
Pos1	189.63	56.286	268.857	421.714
Pos1	189.953	55.286	247.571	397.286
Pos1	190.275	57	226.714	365
Pos1	190.598	54.714	234.429	365.143
Pos1	190.92	55.143	279.429	382.714
Pos1	191.243	58.571	297	413.857
Pos1	191.565	56.286	321.286	482.857
Pos1	191.888	57.714	318.143	459.714
Pos1	192.21	58.429	369.143	494.857
Pos1	192.533	58.143	478.571	575.143
Pos1	192.855	59.286	535.857	641.286
Pos1	193.178	57.857	487.857	669.143
Pos1	193.5	56.571	416.857	628.286
Pos1	193.823	57.714	386	586.571
Pos1	194.145	57.571	331.571	483
Pos1	194.468	57.143	286.714	401.571
Pos1	194.79	54.857	277.143	390.286
Pos1	195.113	56	279.857	384.429
Pos1	195.435	55.714	275.714	375.714
Pos1	195.758	56.714	263.286	346.714
Pos1	196.08	56.286	252.714	345
Pos1	196.403	57.429	268.714	341.143
Pos1	196.725	58.143	271.714	335.714
Pos1	197.048	57.714	282.571	345.286
Pos1	197.37	58.286	280.571	336.571
Pos1	197.693	56.286	293	329.143
Pos1	198.015	59.571	389.571	347.857
Pos1	198.338	58.286	439.571	376.571
Pos1	198.66	57.429	447.286	403.857
Pos1	198.983	56.714	472.429	463.286
Pos1	199.305	60.286	482.143	473.143
Pos1	199.628	59.429	501.429	521
Pos1	199.95	58	402.143	515.857
Pos1	200.273	56.857	381.714	494.857
Pos1	200.595	56.429	346.714	451.571
Pos1	200.918	58.143	357.286	500.143
Pos1	201.24	58.286	332.286	452.429
Pos1	201.563	56.571	339.143	503
Pos1	201.885	60.714	288	417.143
Pos1	202.208	56.857	287.429	396.857
Pos1	202.53	58.429	295.286	376
Pos1	202.853	58.286	373.286	437.429
Pos1	203.175	55.857	382.143	482
Pos1	203.498	57.286	355.429	506.714
Pos1	203.82	57.143	327.714	460.286
Pos1	204.143	56.714	297.429	414.857
Pos1	204.465	55.286	250.571	375.714
Pos1	204.788	57.429	240	351.857
Pos1	205.11	55.286	271.429	352.429
Pos1	205.433	55.571	314.143	367.429
Pos1	205.755	58.571	361.714	383.429
Pos1	206.078	59	423.714	439.571
Pos1	206.4	58	429.571	516.429
Pos1	206.723	57.429	437.286	539.286
Pos1	207.045	58.143	460.571	549.143
Pos1	207.368	58.143	438.571	504.571
Pos1	207.69	58.571	476.571	531.286
Pos1	208.013	58.429	431.286	469.286
Pos1	208.335	55.571	461.571	503.571
Pos1	208.658	56.714	385.714	481.143
Pos1	208.98	56.571	417	475.143
Pos1	209.303	59.857	513.286	425.571
Pos1	209.625	59.429	625.571	502.143
Pos1	209.948	60.429	700.143	579.714
Pos1	210.27	60.143	656.857	637.286
Pos1	210.593	60.714	608.429	682.429
Pos1	210.915	59.143	518.143	617.714
Pos1	211.238	59.143	518.143	617.714
Pos1	211.56	60.286	487.429	574.143
Pos1	211.883	57.429	458.714	470.143
Pos1	212.205	58.143	512.571	445.571
Pos1	212.528	60.857	585.857	445
Pos1	212.85	60.429	608.143	459.286
Pos1	213.173	58.714	625.571	489
Pos1	213.495	57	642.714	516
Pos1	213.818	58.857	690.286	554
Pos1	214.14	59	729	654
Pos1	214.463	60.286	777.857	767.571
Pos1	214.785	61	858.571	873.714
Pos1	215.108	62.429	899.857	938.429
Pos1	215.43	60.429	923.714	963.714
Pos1	215.753	59	879.857	956.714
Pos1	216.075	57.857	809.429	937.714
Pos1	216.398	61	809	910.429
Pos1	216.72	59.429	814.143	921.286
Pos1	217.043	59.286	885.143	901
Pos1	217.365	58.571	977	928
Pos1	217.688	56.571	1028.429	990.286
Pos1	218.01	61.429	1017.286	1061.286
Pos1	218.333	61.286	962	1075
Pos1	218.655	60.571	963.429	1118.429
Pos1	218.978	61.143	1041.571	1134.429
Pos1	219.3	61.286	1076.429	1219
Pos1	219.623	61	1101.286	1307.571
